id,edge_id,s_id,e_id,direction,class,attribute,width,length,speed_limit,line_string
399301,680861,774436,774439,3,0x03,0x00,15,43,30,"LINESTRING (116.43425 39.92413, 116.43443 39.92413, 116.43451 39.92413, 116.43458 39.92413, 116.43475 39.92413)"
399315,680883,774447,740074,3,0x02,0x0b,7,98,50,"LINESTRING (116.45139 39.95742, 116.45131 39.9572, 116.45127 39.95706, 116.45121 39.95689, 116.45105 39.95658)"
399318,680887,774448,740075,2,0x02,0x02,11,23,60,"LINESTRING (116.45091 39.95646, 116.45073 39.95631)"
399321,680892,740076,774449,2,0x02,0x02,11,23,60,"LINESTRING (116.45085 39.95624, 116.45103 39.9564)"
399322,680894,774449,774450,2,0x02,0x02,11,7,60,"LINESTRING (116.45103 39.9564, 116.45108 39.95645)"
399323,680897,774450,740077,2,0x02,0x02,11,5,60,"LINESTRING (116.45108 39.95645, 116.45112 39.95648)"
399324,680899,740074,774451,2,0x02,0x02,11,6,60,"LINESTRING (116.45105 39.95658, 116.451 39.95654)"
399345,680922,779909,777675,2,0x03,0x0a,11,189,40,"LINESTRING (116.38016 39.96409, 116.38021 39.9646, 116.3803 39.96516, 116.38037 39.96579)"
399346,680923,777675,779067,2,0x03,0x0a,11,7,40,"LINESTRING (116.38037 39.96579, 116.38038 39.96585)"
399355,680932,779002,777680,3,0x03,0x0a,11,10,50,"LINESTRING (116.37673 39.94866, 116.37685 39.94866)"
399356,680933,779002,777681,2,0x03,0x0b,11,11,40,"LINESTRING (116.37673 39.94866, 116.37685 39.94863)"
399357,680934,739989,777682,2,0x03,0x0a,11,429,50,"LINESTRING (116.40483 39.94923, 116.40449 39.94923, 116.40426 39.94923, 116.40323 39.94922, 116.3998 39.94921)"
399358,680935,777682,714807,2,0x03,0x0a,11,5,50,"LINESTRING (116.3998 39.94921, 116.39974 39.94921)"
399359,680936,777683,740017,2,0x03,0x0a,11,6,50,"LINESTRING (116.41339 39.94901, 116.41346 39.94901)"
399360,680937,773610,777684,2,0x03,0x0a,11,32,30,"LINESTRING (116.4202 39.9496, 116.41983 39.94957)"
399361,680938,777684,714817,2,0x03,0x0a,11,5,30,"LINESTRING (116.41983 39.94957, 116.41977 39.94957)"
399362,680939,777685,740670,2,0x03,0x0a,11,8,30,"LINESTRING (116.42896 39.9499, 116.42887 39.94989)"
399369,680946,717274,777689,2,0x03,0x0a,11,42,50,"LINESTRING (116.43399 39.94482, 116.43396 39.9452)"
399370,680947,777689,744596,2,0x03,0x0a,11,8,50,"LINESTRING (116.43396 39.9452, 116.43396 39.94527)"
399371,680948,777690,740005,2,0x03,0x0a,11,22,30,"LINESTRING (116.43368 39.93795, 116.43369 39.93775)"
399372,680949,757707,777691,2,0x03,0x01,11,42,50,"LINESTRING (116.4342 39.93729, 116.43418 39.93767)"
399373,680950,777691,742005,2,0x03,0x01,11,9,50,"LINESTRING (116.43418 39.93767, 116.43417 39.93775)"
399376,680954,732949,777693,2,0x03,0x0a,7,171,50,"LINESTRING (116.435 39.91866, 116.43495 39.9202)"
399377,680955,777693,741998,2,0x03,0x0a,7,9,50,"LINESTRING (116.43495 39.9202, 116.43494 39.92028)"
399452,681000,742977,752808,2,0x00,0x02,11,403,100,"LINESTRING (116.49265 39.99209, 116.49321 39.9926, 116.49428 39.99357, 116.49507 39.99429, 116.4957 39.99486)"
399457,681004,737924,737831,2,0x00,0x02,11,407,100,"LINESTRING (116.49556 39.995, 116.49519 39.99467, 116.49496 39.99446, 116.4943 39.99385, 116.49348 39.99311, 116.49317 39.99284, 116.49306 39.99273, 116.49284 39.99254, 116.49247 39.99221)"
399475,681015,742085,742086,2,0x03,0x0a,11,156,60,"LINESTRING (116.44656 39.98576, 116.44717 39.98552, 116.44742 39.98542, 116.44754 39.98535, 116.44791 39.98516, 116.44812 39.98504)"
399476,681017,773025,755527,3,0x01,0x02,11,215,80,"LINESTRING (116.43565 39.96958, 116.43537 39.96962, 116.43518 39.96965, 116.43498 39.96966, 116.43481 39.96967, 116.43471 39.96967, 116.43452 39.96968, 116.43438 39.96968, 116.43422 39.96968, 116.43418 39.96968, 116.43361 39.96965, 116.43314 39.96964)"
399477,681018,740477,743035,3,0x03,0x0b,7,247,40,"LINESTRING (116.39314 39.98862, 116.39306 39.98861, 116.39302 39.98859, 116.39296 39.98856, 116.39291 39.98852, 116.39284 39.98844, 116.39277 39.98837, 116.39272 39.98834, 116.39268 39.98832, 116.39261 39.9883, 116.39248 39.98827, 116.39238 39.98826, 116.39212 39.98824, 116.39139 39.98822, 116.39042 39.9882)"
399478,681021,780972,740478,3,0x01,0x05,7,160,40,"LINESTRING (116.39589 39.98837, 116.39582 39.98837, 116.3952 39.98834, 116.39486 39.98834, 116.39471 39.98836, 116.39462 39.98838, 116.39447 39.98843, 116.39431 39.98856, 116.39426 39.98859, 116.39413 39.98863)"
399484,681027,775852,779096,3,0x03,0x0a,11,69,60,"LINESTRING (116.37611 39.98721, 116.37643 39.98719, 116.37656 39.98716, 116.37668 39.98713, 116.37689 39.98706)"
399485,681028,779096,780563,3,0x03,0x0a,11,195,60,"LINESTRING (116.37689 39.98706, 116.37751 39.98677, 116.37792 39.98653, 116.37817 39.98638, 116.37829 39.9863, 116.37843 39.98619, 116.37854 39.98608, 116.37865 39.98596)"
399486,681029,20000779392,779139,3,0x01,0x03,11,591,50,"LINESTRING (116.375 39.94866, 116.37533 39.94867, 116.37606 39.94869, 116.37633 39.94869, 116.37646 39.9487, 116.37666 39.9487, 116.37678 39.9487, 116.37696 39.94873, 116.37711 39.94878, 116.37724 39.94882, 116.37727 39.94884, 116.37734 39.94887, 116.37741 39.94891, 116.37745 39.94893, 116.37755 39.94901, 116.37766 39.94908, 116.37772 39.94914, 116.37778 39.9492, 116.37798 39.94945, 116.37815 39.94972, 116.37844 39.95013, 116.37864 39.95043, 116.37874 39.95057, 116.37896 39.95089, 116.37914 39.95117, 116.37917 39.95123, 116.3792 39.95128, 116.37924 39.95135, 116.37925 39.95137, 116.37927 39.95141, 116.37929 39.95146, 116.37939 39.95167, 116.37939 39.95169, 116.37944 39.95191)"
399487,681030,773514,779819,2,0x03,0x0a,11,187,50,"LINESTRING (116.37891 39.949, 116.37755 39.94901, 116.37672 39.94901)"
